"","Country","population_million","HDI_2018","log_pop_density","ages_65_up","BCG_policy","BCG_mean_coverage","urban_fraction","lat","long","Days_since_first_death","max_log_deaths_million","BCG_index","range_age_BCG","ISO3"
"1","Afghanistan",37.1724,0.496,4.04305126783455,0.03,"current",0.4991666667,0.25495,33,65,239,3.77276130915222,27.1824683562456,54.4556962025316,"AFG"
"2","Albania",2.8664,0.791,4.65396035015752,0.14,"current",0.9381081081,0.60319,41,20,250,5.38148963177885,51.0853301398253,54.4556962025316,"ALB"
"3","Algeria",42.2284,0.759,2.89037175789616,0.06,"current",0.9435483871,0.72629,28,3,249,3.93198887724576,51.3815843203063,54.4556962025316,"DZA"
"4","Andorra",0.077,0.857,5.0998664278242,0.127096622314443,"never",0.856090193403065,0.88062,42.5,1.6,239,6.89468319741478,0,0,"AND"
"5","Angola",30.8098,0.574,3.2188758248682,0.02,"current",0.646,0.65514,-12.5,18.5,232,2.3467187243558,26.486,41,"AGO"
"6","Antigua and Barbuda",0.0963,0.776,5.3890717298165,0.09,"current",0.99,0.24599,17.05,-61.8,223,3.72658132129795,53.9111392405063,54.4556962025316,"ATG"
"7","Argentina",44.4945,0.83,2.77258872223978,0.11,"current",0.9284615385,0.9187,-34,-64,253,6.6801179455039,50.5600194762911,54.4556962025316,"ARG"
"8","Armenia",2.9518,0.76,4.64439089914137,0.11,"current",0.9255172414,0.63149,40,45,235,6.39235702863233,20.3613793108,22,"ARM"
"9","Australia",24.9827,0.938,1.09861228866811,0.16,"interrupted",0.891142412116345,0.86012,-27,133,260,3.59195886478945,31.1899844240721,35,"AUS"
"10","Austria",8.8405,0.914,4.67282883446191,0.19,"interrupted",0.9,0.58297,47.3333,13.3333,249,5.33218121225486,34.2,38,"AUT"
"11","Azerbaijan",9.9398,0.754,4.78749174278205,0.06,"current",0.9634482759,0.5568,40.5,47.5,248,4.57765159571158,72.2586206925,75,"AZE"
"12","Bahamas",0.3856,0.805,3.66356164612965,0.07,"interrupted",0.853169352962056,0.83025,24.25,-76,229,6.00281072349528,16.2102177062791,19,"BHS"
"13","Bahrain",1.5694,0.838,7.60936653795421,0.02,"current",0.8255,0.89287,26,50.55,245,5.36044761226546,44.9531772151899,54.4556962025316,"BHR"
